t_s,lat,lon,heading,speed_mps,terrain_h,gps_ok
42.0,51.52852645,55.05244756,117.78,38.97,120.77,1
43.0,51.52836573,55.0529626,116.64,39.904,120.5,1
44.0,51.52820841,55.05347989,116.05,39.877,120.11,1
45.0,51.52805431,55.05400525,115.24,40.225,120.7,1
46.0,51.52790272,55.05456043,113.69,41.989,120.62,1
47.0,51.52775622,55.05508415,114.21,39.769,120.55,1
48.0,51.52761308,55.05562262,113.14,40.554,120.59,1
49.0,51.52747396,55.056162,112.52,40.439,121.24,0
50.0,51.52733925,55.0566924,112.21,39.677,121.0,0
51.0,51.52720857,55.05722948,111.36,39.94,121.54,0
52.0,51.52708311,55.05773492,111.75,37.689,122.0,0
53.0,51.52696078,55.05828973,109.51,40.766,122.43,0
54.0,51.5268426,55.05886667,108.22,42.068,122.77,0
55.0,51.5267288,55.05946426,107.02,43.283,123.1,0
56.0,51.5266201,55.06004278,106.8,41.855,123.81,0
57.0,51.5265163,55.06062077,106.1,41.665,124.05,0
58.0,51.52641788,55.06116704,106.15,39.388,124.83,0
59.0,51.52632404,55.06175698,104.34,42.173,125.56,0
60.0,51.52623548,55.06233498,103.83,41.227,125.67,0
61.0,51.52615246,55.06287642,103.85,38.622,125.61,0
62.0,51.52607496,55.06338612,103.73,36.34,126.09,0
63.0,51.52600274,55.06390333,102.65,36.713,126.5,0
64.0,51.52593587,55.06443553,101.42,37.603,126.78,0
65.0,51.52587467,55.06493468,101.15,35.236,127.05,0
66.0,51.52581897,55.06545196,99.82,36.359,127.33,0
67.0,51.52576903,55.06592691,99.59,33.361,127.58,0
68.0,51.52572473,55.06643025,98.05,35.208,128.28,0
69.0,51.52568618,55.06696249,96.64,37.112,129.46,0
70.0,51.52565347,55.0674848,95.75,36.357,130.53,0
71.0,51.52562664,55.06801891,94.62,37.112,131.42,0
72.0,51.52560573,55.06861632,93.22,41.442,132.45,0
73.0,51.52559077,55.06922136,92.28,41.938,133.79,0
74.0,51.52558179,55.0698125,91.4,40.954,134.67,0
75.0,51.52557879,55.0704262,90.45,42.506,135.7,0
76.0,51.52558179,55.07103501,89.55,42.167,136.54,0
77.0,51.52559077,55.07165376,88.66,42.866,137.79,0
78.0,51.52560573,55.07228228,87.81,43.563,138.44,0
79.0,51.52562665,55.07293799,87.06,45.473,138.82,0
80.0,51.52565351,55.07360547,86.3,46.326,138.84,0
81.0,51.52568628,55.07428075,85.54,46.912,139.61,0
82.0,51.52572495,55.07500762,85.11,50.526,140.6,0
83.0,51.52576946,55.07570976,84.18,48.882,142.21,0
84.0,51.5258198,55.07644107,83.69,50.959,143.38,0
85.0,51.5258759,55.07717046,82.95,50.902,144.55,0
86.0,51.52593766,55.07786783,81.9,48.786,146.0,0
87.0,51.52600506,55.07855976,81.1,48.506,147.96,0
88.0,51.52607793,55.07921997,79.94,46.44,149.47,0
89.0,51.52615633,55.07988695,79.3,47.011,150.21,0
90.0,51.52624016,55.08055715,78.63,47.346,150.32,0
91.0,51.52632899,55.08117094,76.9,43.645,150.83,0
92.0,51.52642297,55.08177599,75.98,43.19,150.85,0
93.0,51.52652214,55.08238973,75.44,43.917,151.24,0
94.0,51.52662607,55.08297826,74.15,42.37,151.86,0
95.0,51.52673523,55.08359132,74.03,44.164,152.79,0
96.0,51.5268493,55.08420727,73.42,44.509,153.92,0
97.0,51.52696896,55.08488198,74.09,48.59,155.72,0
98.0,51.52709347,55.08556242,73.61,49.122,157.29,0
99.0,51.52722237,55.08622393,72.61,48.009,158.3,0
100.0,51.52735559,55.08687081,71.69,47.191,158.65,0
101.0,51.52749269,55.08749106,70.44,45.588,159.8,0
102.0,51.52763344,55.08808546,69.16,44.047,161.65,0
103.0,51.52777817,55.08867305,68.4,43.767,163.91,0
104.0,51.52792688,55.0892585,67.79,43.796,166.6,0
105.0,51.52808118,55.08989673,68.76,47.421,169.35,0
106.0,51.52824054,55.09057427,69.29,50.165,172.14,0
107.0,51.52840359,55.09124286,68.6,49.733,173.86,0
108.0,51.52856902,55.09186756,66.94,47.021,175.45,0
109.0,51.52873693,55.0924622,65.59,45.225,175.87,0
110.0,51.5289088,55.09306766,65.47,46.09,176.11,1
111.0,51.5290832,55.09365333,64.42,44.967,176.91,1
112.0,51.52925968,55.09421535,63.22,43.6,176.79,1
113.0,51.52943966,55.09478378,63.03,44.171,176.12,1
114.0,51.52962214,55.09534222,62.29,43.684,175.14,1
115.0,51.52981075,55.09595857,63.81,47.569,173.34,1
116.0,51.53000211,55.09657049,63.31,47.43,172.94,1
117.0,51.53019404,55.0971424,61.66,45.001,174.63,1
118.0,51.53038903,55.09771995,61.51,45.507,177.29,1
119.0,51.53058493,55.09827178,60.29,44.0,178.67,1
120.0,51.53078083,55.09879085,58.76,42.045,178.07,1
121.0,51.53098027,55.09932475,59.02,43.127,177.64,1
122.0,51.53118056,55.09984124,58.06,42.148,176.46,1
123.0,51.53138646,55.10040005,59.36,44.977,177.43,1
124.0,51.53159614,55.10098049,59.86,46.482,178.99,1
125.0,51.53180517,55.10152561,58.35,44.345,179.64,1
126.0,51.53201928,55.10210997,59.5,46.965,180.27,1
127.0,51.53223555,55.10269696,59.36,47.243,180.8,1
128.0,51.53245257,55.10326993,58.66,46.454,182.69,1
129.0,51.53267118,55.10384084,58.39,46.424,184.53,1
130.0,51.53289616,55.10447267,60.21,50.414,185.66,1
131.0,51.53311797,55.10504292,57.98,46.574,186.5,1
132.0,51.53334144,55.1056149,57.87,46.773,187.29,1
133.0,51.5335612,55.10613257,55.69,43.399,188.29,1
134.0,51.5337746,55.1065837,52.75,39.246,188.86,1
135.0,51.5339887,55.10703159,52.46,39.115,189.92,1
136.0,51.53420061,55.10745562,51.22,37.664,191.86,1
137.0,51.53440396,55.10781909,48.03,33.852,193.89,1
138.0,51.53461151,55.10820273,48.99,35.207,196.27,1
139.0,51.53482469,55.10861769,50.45,37.268,197.22,1
140.0,51.53504497,55.10907844,52.46,40.239,197.3,1
141.0,51.53526299,55.10951735,51.39,38.894,198.74,1
142.0,51.53547913,55.10993902,50.51,37.835,200.02,1
143.0,51.53569692,55.1103684,50.81,38.364,201.24,1
144.0,51.5359138,55.1107885,50.31,37.803,203.03,1
145.0,51.5361332,55.11122327,50.95,38.766,204.59,1
146.0,51.53635332,55.11166082,51.04,38.966,206.53,1
147.0,51.53657116,55.1120812,50.2,37.887,208.38,1
148.0,51.53678337,55.11246522,48.38,35.568,209.74,1
149.0,51.53699713,55.11285794,48.81,36.134,210.44,1
